Player,Pos,Squad,Comp,npxG,-9999
Darwin Machís,MFFW,Granada,es La Liga,1.7,ed6ea4d9
Pablo Maffeo,DF,Mallorca,es La Liga,1.7,5db04597
Harry Maguire,DF,Manchester Utd,eng Premier League,1.7,d8931174
Răzvan Marin,MF,Cagliari,it Serie A,1.7,7fac99d4
Joel Obi,MFDF,Salernitana,it Serie A,1.7,614c38fb
Adrien Rabiot,MF,Juventus,it Serie A,1.7,8794e251
Mário Rui,DF,Napoli,it Serie A,1.7,0b5a292a
Marcel Sabitzer,MFDF,Bayern Munich,de Bundesliga,1.7,e280527c
Giorgio Scalvini,DFMF,Atalanta,it Serie A,1.7,1e9aa637
Chris Smalling,DF,Roma,it Serie A,1.7,b6964eb6
Anton Stach,MF,Mainz 05,de Bundesliga,1.7,0f59a7bf
Mamadou Sylla,FWMF,Rayo Vallecano,es La Liga,1.7,e5ec95f8
Cristian Tello,FWMF,Betis,es La Liga,1.7,72a99e38
Hamari Traoré,DF,Rennes,fr Ligue 1,1.7,a4b1028a
Jean-Eudes Aholou,MF,Strasbourg,fr Ligue 1,1.6,48b28bfd
David Alaba,DF,Real Madrid,es La Liga,1.6,05439de2
Benjamin André,MF,Lille,fr Ligue 1,1.6,ef9c1c95
Charles Aránguiz,MF,Leverkusen,de Bundesliga,1.6,56413b1f
Luke Ayling,DF,Leeds United,eng Premier League,1.6,420d7c7d
Leon Bailey,FWMF,Aston Villa,eng Premier League,1.6,3a233281
Darko Brašanac,MF,Osasuna,es La Liga,1.6,4accb7e0
Dylan Bronn,DF,Metz,fr Ligue 1,1.6,edd81e2a
Duje Ćaleta-Car,DF,Marseille,fr Ligue 1,1.6,94f8d10c
Catena,DF,Rayo Vallecano,es La Liga,1.6,274ab13c
Pathé Ciss,MF,Rayo Vallecano,es La Liga,1.6,9a0408b6
Nathan Collins,DF,Burnley,eng Premier League,1.6,a8c19eb8
Kevin Danso,DF,Lens,fr Ligue 1,1.6,6e33125f
Rodrigo De Paul,MF,Atlético Madrid,es La Liga,1.6,162efffd
Nicolás Domínguez,MF,Bologna,it Serie A,1.6,20b3a502
Fernandinho,MFDF,Manchester City,eng Premier League,1.6,101da2b5
José Fonte,DF,Lille,fr Ligue 1,1.6,90f87966
Rubén García,FWMF,Osasuna,es La Liga,1.6,5c96b017
Lamine Gueye,MFFW,Metz,fr Ligue 1,1.6,9d5dcc23
Munir El Haddadi,FWMF,Sevilla,es La Liga,1.6,8696bc90
Jonathan Ikone,FW,Fiorentina,it Serie A,1.6,42eaa028
Jutglà,FW,Barcelona,es La Liga,1.6,2a9f6b4d
Kouadio Koné,MF,M'Gladbach,de Bundesliga,1.6,86574238
Jean-Philippe Krasso,FW,Saint-Étienne,fr Ligue 1,1.6,037f2523
