Rk,Player,Pos,Squad,Comp,90s,CPA
150,Josip Iličić\68252d6d,FWMF,Atalanta,it Serie A,9.3,23
151,Takefusa Kubo\16aa3654,FWMF,Mallorca,es La Liga,17.8,23
152,Romelu Lukaku\5eae500a,FW,Chelsea,eng Premier League,17.7,23
153,Álex Moreno\16e9d0ea,DF,Betis,es La Liga,26.7,23
154,Milot Rashica\6c6a3300,FWMF,Norwich City,eng Premier League,24.8,23
155,Federico Bernardeschi\ee93c1a9,MFFW,Juventus,it Serie A,16.4,22
156,Giacomo Bonaventura\d995ed27,MF,Fiorentina,it Serie A,25.2,22
157,Francesco Caputo\5bd72174,FW,Sampdoria,it Serie A,31.0,22
158,Joaquín Correa\45b9b619,FW,Inter,it Serie A,11.4,22
159,Kevin De Bruyne\e46012d4,MF,Manchester City,eng Premier League,24.5,22
160,Edin Džeko\3bb7f478,FW,Inter,it Serie A,27.4,22
161,Dejan Kulusevski\df3cda47,MFFW,Tottenham,eng Premier League,14.0,22
162,Dries Mertens\89b2c8a9,FWMF,Napoli,it Serie A,15.4,22
163,Junior Messias\f49c4ae9,FWMF,Milan,it Serie A,15.9,22
164,Alassane Pléa\bc6bd723,FWMF,M'Gladbach,de Bundesliga,23.0,22
165,Ferrán Torres\9e1035f8,FW,Barcelona,es La Liga,15.7,22
166,Hakim Ziyech\6622454d,FWMF,Chelsea,eng Premier League,14.7,22
167,Ludovic Blas\6191093d,MFFW,Nantes,fr Ligue 1,32.9,21
168,Jeremie Boga\fe012aca,FWMF,Sassuolo,it Serie A,7.4,21
169,Andrea Cambiaso\247ed022,DF,Genoa,it Serie A,19.9,21
170,Hwang Hee-chan\169fd162,FWMF,Wolves,eng Premier League,20.2,21
171,Neymar\69384e5d,FWMF,Paris S-G,fr Ligue 1,20.6,21
172,Yeremi Pino\540ec57b,MFFW,Villarreal,es La Liga,18.6,21
173,Takuma Asano\13ddc856,FWMF,Bochum,de Bundesliga,17.9,20
174,Musa Barrow\e5bf73f3,FWMF,Bologna,it Serie A,23.7,20
175,Denzel Dumfries\481c9ece,DF,Inter,it Serie A,22.5,20
176,Alberth Elis\104b4ad3,FWMF,Bordeaux,fr Ligue 1,15.7,20
177,Elif Elmas\cf007308,FWMF,Napoli,it Serie A,18.0,20
